年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
-371,,5,テーベ、スパルタを破り、ギリシアの覇権を握る。エパミノンダス活躍。,-371,,欧米,1,,ギリシア,,,,,,
-367,,5,ローマでリキニウス・セクスティウス法制定。,-367,,欧米,1,,ローマ,,,,,,
-359,,5,秦の孝公、商鞅を登用。什伍の制など改革を開始。,-359,,アジア,1,,中国,,,,,,
-350,,5,秦の孝公、咸陽に遷都。,-350,,アジア,1,,中国,,,,,,
-350,,5,インドのマガダ国にナンダ朝が起こる。,-350,,アジア,1,,印,,,,,,
-347,,5,プラトン死去。,-347,,欧米,1,2,ローマ,,,,,,
-343,,5,ローマ、3次にわたるサムニウム戦争でイタリア中部を制圧。,-290,,欧米,1,,ローマ,,,,,,
-338,,5,マケドニアのフィリッポス２世、カイロネイアの戦いでアテネ・テーベ連合軍を破る。,-338,,欧米,1,,ギリシア,,,,,,
-338,,5,ローマ、ラテン人の同盟都市を征服。,-338,,欧米,1,,ローマ,,,,,,
-337,,5,マケドニアがギリシアの諸ポリスとコリントス同盟を結成。,-337,,欧米,1,,ギリシア,,アルゲアス朝マケドニア王国,,,,
-336,,5,マケドニア フィリッポス２世、暗殺される。,-336,,欧米,1,,ギリシア,,アルゲアス朝マケドニア王国,,,,
-334,5月,5,アレクサンドロス、東方遠征を開始。,-334,,アジア,1,,ギリシア:ペルシア:中東,,アルゲアス朝マケドニア王国,,,,
-334,,5,アレクサンドロス、小アジアでグラニコス河の戦い。,-334,,アジア,1,,ギリシア:ペルシア:中東,,アルゲアス朝マケドニア王国,,,,
-333,,5,アレクサンドロス、イッソスの戦いでペルシア軍を破る。,-333,,アジア,1,,ギリシア:ペルシア:中東,,アルゲアス朝マケドニア王国,,,,
-331,,5,アレクサンドロス大王、エジプトにアレクサンドリアを建設。,-331,,欧米,1,,エジプト,,アルゲアス朝マケドニア王国,,,,
-331,10,5,アルベラの戦い（ガウガメラの戦い）、ペルシア帝国のダレイオス３世敗走。,-331,,アジア,1,,ギリシア:ペルシア:中東,,アルゲアス朝マケドニア王国,,,,
-330,,5,アレクサンドロス大王、ペルセポリスを焼き討ち。ペルシア帝国の滅亡。,-330,,アジア,1,,ギリシア:ペルシア:中東,,アルゲアス朝マケドニア王国,,,,
-327,,5,アレクサンドロス大王のインド侵入。アレクサンドロスの大帝国。,-327,,アジア,1,,ギリシア:中東,,アルゲアス朝マケドニア王国,,,,
-324,,5,スサでアレクサンドロスの集団結婚式を挙行。,-324,,アジア,1,,ギリシア:中東,,アルゲアス朝マケドニア王国,,,,
-323,6月10日,5,アレクサンドロス大王、バビロンで死去。,-323,,アジア,1,,ギリシア:中東,,アルゲアス朝マケドニア王国,,,,
-323,,5,ディアドコイ戦争始まる。ヘレニズム三国が分立。,-276,,アジア,1,,ギリシア:中東,,アルゲアス朝マケドニア王国,,,,
-322,,5,アリストテレス死去。,-322,,アジア,1,2,ギリシア:中東,,,,,,
-317,,5,インドのチャンドラグプタ、マウリヤ朝を興す。都パータリプトラ,-317,,アジア,1,,印,,,,,,
-312,,5,ローマ、アッピア街道の建設開始。,-312,,欧米,1,,ローマ,,,,,,
-312,,5,ディアドコイの一人セレウコスがセレウコス朝シリアを建国。,-312,,アジア,1,,ペルシア:中東,,セレウコス朝シリア,,,,
